Mountain Dew Code Red
Jackie Chan's Police Story
The Utah Jazz
Irish rock band Thin Lizzie
The Diet of Worms
NCIS: New Orleans
The Trans-Canada Highway
Jack Antonoff
Trader Joe's dried cranberries
Texas A&M School of Dentistry
Al Boraq Morocco high speed rail
A large amount of mayonnaise
"The podcast ""Renegades: Born in the USA"""
The Costa Concordia
"Oceanside, California Amtrak station"
The Providence Friar
"Bossier City, Louisiana"
The Hellenic Air Force
The Mall of Berlin
The Liberal Democratic Party of Japan
Netlify Serverless Hosting
React (via nextjs)
The Mohegan Sun as depicted in Uncut Gems (2019)
The 1993 Supreme Court Term
A Fastapi Backend
A Digital Ocean Droplet
NumPy (the python library)
U.S. Rep. Ted Lieu
David Axelrod (a toy of him)
